#Wavelength,Qabs,Qsca,Qext
400,4.7747565978638696E-14,6.55310571180284E-14,1.1327862309666709E-13
402.7027027027027,4.750972503347583E-14,6.563615024378342E-14,1.1314587527725926E-13
405.4054054054054,4.7249646146554113E-14,6.573409044940827E-14,1.1298373659596239E-13
408.10810810810807,4.696783212742286E-14,6.58261965290326E-14,1.1279402865645546E-13
410.8108108108108,4.666503262386188E-14,6.59138775687962E-14,1.1257891019265808E-13
413.5135135135135,4.6342215294231126E-14,6.59984569345947E-14,1.1234067222882583E-13
416.2162162162162,4.6001938729854404E-14,6.60805060765164E-14,1.1208244480637079E-13
418.9189189189189,4.5644308319511653E-14,6.616277709390376E-14,1.1180708541341541E-13
421.6216216216216,4.527088169377798E-14,6.624684132604857E-14,1.1151772301982655E-13
424.3243243243243,4.4883356061815067E-14,6.6334259551258E-14,1.1121761561307307E-13
427.02702702702703,4.4483539044547193E-14,6.642656247147505E-14,1.1091010151602225E-13
429.72972972972974,4.4073318809353414E-14,6.65252324563868E-14,1.1059855126574022E-13
432.4324324324324,4.370201876038757E-14,6.659476754008187E-14,1.1029678630046945E-13
435.1351351351351,4.3343949108690666E-14,6.666031084693058E-14,1.1000425995562125E-13
437.8378378378378,4.298208278019138E-14,6.673788069285774E-14,1.0971996347304911E-13
440.5405405405405,4.261815350900416E-14,6.682839377596472E-14,1.0944654728496887E-13
443.2432432432432,4.2253624799987265E-14,6.693262784900237E-14,1.0918625264898964E-13
445.94594594594594,4.189012988909694E-14,6.705131366872649E-14,1.0894144355782343E-13
448.64864864864865,4.1529148012246324E-14,6.718504812963935E-14,1.0871419614188568E-13
451.35135135135135,4.117508154640347E-14,6.733221910576302E-14,1.085073006521665E-13
454.05405405405406,4.0841219381066866E-14,6.748491713087729E-14,1.0832613651194415E-13
456.7567567567568,4.051371381791783E-14,6.765395644901996E-14,1.0816767026693779E-13
459.4594594594594,4.019361907700761E-14,6.78394878087661E-14,1.0803310688577372E-13
462.16216216216213,3.9881889571457425E-14,6.804157627753998E-14,1.0792346584899741E-13
464.86486486486484,3.95793800656209E-14,6.826020696854541E-14,1.0783958703416631E-13
467.56756756756755,3.9286847140055995E-14,6.849529090952064E-14,1.0778213804957664E-13
470.27027027027026,3.9004951718135836E-14,6.874667088894355E-14,1.0775162260707939E-13
472.97297297297297,3.876318215820202E-14,6.899369434119332E-14,1.0775687649939534E-13
475.6756756756757,3.855345683703284E-14,6.924163246082808E-14,1.0779508929786093E-13
478.37837837837833,3.835525254888928E-14,6.95047198068185E-14,1.078599723557078E-13
481.08108108108115,3.816884985458856E-14,6.978252365794964E-14,1.079513735125382E-13
483.78378378378375,3.7994465448980596E-14,7.007457818517935E-14,1.0806904363415995E-13
486.48648648648646,3.7832256502276604E-14,7.038038834717684E-14,1.0821264484945345E-13
489.18918918918916,3.768232490069437E-14,7.069943341977065E-14,1.0838175832046502E-13
491.8918918918919,3.7544721428228604E-14,7.103117015837003E-14,1.0857589158659863E-13
494.5945945945946,3.7419449758520934E-14,7.137503561513691E-14,1.0879448537365784E-13
497.2972972972973,3.734894743131084E-14,7.169676451209308E-14,1.0904571194340393E-13
500,3.732969270240046E-14,7.199692564425431E-14,1.0932661834665477E-13
502.70270270270277,3.732170042023422E-14,7.230602708509136E-14,1.0962772750532559E-13
505.4054054054055,3.732485332752436E-14,7.262343528626996E-14,1.0994828861379432E-13
508.10810810810807,3.7339010996334274E-14,7.294851606608983E-14,1.102875270624241E-13
510.8108108108108,3.7364011874492736E-14,7.32806354753957E-14,1.1064464734988844E-13
513.5135135135134,3.739967512415703E-14,7.36191605072862E-14,1.1101883563144322E-13
516.2162162162163,3.74458023257602E-14,7.396345967483195E-14,1.1140926200059216E-13
518.918918918919,3.750217901920198E-14,7.43129034598861E-14,1.1181508247908809E-13
521.6216216216217,3.76080741990125E-14,7.463049074147592E-14,1.1223856494048842E-13
524.3243243243244,3.783192794706897E-14,7.484932824569138E-14,1.1268125619276035E-13
527.0270270270271,3.806496742695491E-14,7.506705459598567E-14,1.1313202202294058E-13
529.7297297297298,3.8307012662046824E-14,7.528307760508219E-14,1.1359009026712902E-13
532.4324324324324,3.855787481148092E-14,7.549681920698431E-14,1.1405469401846523E-13
535.1351351351352,3.8817356640926654E-14,7.570771561386044E-14,1.145250722547871E-13
537.8378378378378,3.908525295418056E-14,7.591521746687092E-14,1.1500047042105148E-13
540.5405405405405,3.936135097958221E-14,7.611878999818349E-14,1.1548014097776568E-13
543.2432432432432,3.964543076519481E-14,7.631791318139292E-14,1.1596334394658773E-13
545.9459459459459,3.993726553572079E-14,7.651208189307736E-14,1.1644934742879815E-13
548.6486486486486,4.0232040416387564E-14,7.670585205327396E-14,1.1693789246966154E-13
551.3513513513514,4.0284279494714136E-14,7.717178865274681E-14,1.1745606814746096E-13
554.0540540540541,4.034370239278191E-14,7.763670682964653E-14,1.1798040922242845E-13
556.7567567567567,4.040988401189123E-14,7.809993746552059E-14,1.1850982147741182E-13
559.4594594594595,4.04823922613479E-14,7.856080636882121E-14,1.190431986301691E-13
562.1621621621621,4.056078886266315E-14,7.901863484694998E-14,1.1957942370961314E-13
564.8648648648648,4.0644630145800015E-14,7.947274032096319E-14,1.2011737046676322E-13
567.5675675675675,4.0733467763657065E-14,7.992243700140213E-14,1.2065590476505919E-13
570.2702702702703,4.0826849423951225E-14,8.036703661520646E-14,1.2119388603915767E-13
572.972972972973,4.092431955671762E-14,8.080584919790991E-14,1.2173016875462752E-13
575.6756756756757,4.102542000988586E-14,8.123818394087816E-14,1.2226360395076403E-13
578.3783783783784,4.1129690703369584E-14,8.166335010842471E-14,1.227930408117943E-13
581.0810810810812,4.1236670285764E-14,8.20806580173267E-14,1.233173283030907E-13
583.7837837837839,4.100647912874403E-14,8.28646246649029E-14,1.2387110379364692E-13
586.4864864864865,4.057525974279756E-14,8.384631064645589E-14,1.2442157038925345E-13
589.1891891891893,4.0148222328398853E-14,8.479216964722627E-14,1.2494039197562513E-13
591.8918918918919,3.972455217532336E-14,8.570025090610672E-14,1.2542480308143007E-13
594.5945945945946,3.9303462121624134E-14,8.65686620489676E-14,1.2587212417059173E-13
597.2972972972973,3.8884202610603964E-14,8.739558286219538E-14,1.2627978547279935E-13
600,3.8466069769431526E-14,8.817927849099526E-14,1.266453482604268E-13
602.7027027027027,3.8048411730113596E-14,8.891811199277148E-14,1.2696652372288509E-13
605.4054054054054,3.763063341942616E-14,8.961055611398916E-14,1.2724118953341533E-13
608.1081081081081,3.721219998714332E-14,9.025520420596646E-14,1.274674041931098E-13
610.8108108108107,3.6792639086029654E-14,9.085078017112546E-14,1.2764341925715512E-13
613.5135135135135,3.6371542087080614E-14,9.13961473631569E-14,1.2776768945023753E-13
616.2162162162161,3.594856442715448E-14,9.18903163477491E-14,1.2783888077490358E-13
618.9189189189188,3.558646850528604E-14,9.229536608288238E-14,1.2788183458816842E-13
621.6216216216216,3.5238211498714296E-14,9.264399209481679E-14,1.278822035935311E-13
624.3243243243244,3.488607930200013E-14,9.29465744806365E-14,1.2783265378263662E-13
627.0270270270271,3.4529914470328384E-14,9.320261351097917E-14,1.2773252798130756E-13
629.7297297297298,3.4169609729788194E-14,9.341174396239545E-14,1.2758135369218364E-13
632.4324324324325,3.380510621595251E-14,9.35737368163348E-14,1.2737884303228733E-13
635.1351351351352,3.343639146750447E-14,9.368849995675305E-14,1.2712489142425752E-13
637.8378378378379,3.306349717126657E-14,9.375607787729875E-14,1.2681957504856532E-13
640.5405405405405,3.268649670440911E-14,9.377665041314361E-14,1.2646314711755271E-13
643.2432432432433,3.230550253555237E-14,9.375053050528392E-14,1.2605603304083628E-13
645.9459459459459,3.192066342982626E-14,9.367816105690374E-14,1.2559882448673E-13
648.6486486486486,3.153216159549843E-14,9.35601109200395E-14,1.2509227251553794E-13
651.3513513513514,3.114020971166968E-14,9.339707005824807E-14,1.2453727976991775E-13
654.0540540540541,3.07450478987854E-14,9.318984398482525E-14,1.2393489188361064E-13
656.7567567567568,3.034694067887648E-14,9.293934751391852E-14,1.2328628819279501E-13
659.4594594594594,2.994617392107355E-14,9.264659793296883E-14,1.2259277185404237E-13
662.1621621621622,2.964135574972347E-14,9.231306548088983E-14,1.219544212306133E-13
664.8648648648648,2.933380092436791E-14,9.194560362469801E-14,1.2127940454906592E-13
667.5675675675676,2.902223756597199E-14,9.154514113378987E-14,1.2056737869976187E-13
670.2702702702702,2.8706921179513015E-14,9.111262770745807E-14,1.198195488869711E-13
672.9729729729729,2.8388119606657996E-14,9.064907039154544E-14,1.1903718999820345E-13
675.6756756756756,2.806611109633416E-14,9.015552799290634E-14,1.182216390892405E-13
678.3783783783784,2.77411824610063E-14,8.963310537747227E-14,1.1737428783847857E-13
681.0810810810812,2.741362724650703E-14,8.908294772139023E-14,1.1649657496789725E-13
683.7837837837839,2.7083743987651557E-14,8.85062347490038E-14,1.1558997873665536E-13
686.4864864864866,2.6751834503564507E-14,8.790417501136796E-14,1.1465600951493247E-13
689.1891891891892,2.641820229599272E-14,8.727800024381198E-14,1.136962025398047E-13
691.891891891892,2.6083151015627112E-14,8.662895984481487E-14,1.1271211086044198E-13
694.5945945945946,2.574698301782517E-14,8.595831550747374E-14,1.117052985252989E-13
697.2972972972974,2.5409998020750708E-14,8.526733602759232E-14,1.1067733404834303E-13
700,2.507249185185513E-14,8.455729234919867E-14,1.0962978420105381E-13
702.7027027027027,2.4734755297691116E-14,8.38294528223867E-14,1.0856420812007783E-13
705.4054054054054,2.4410750187164196E-14,8.309034062938291E-14,1.0750109081654711E-13
708.1081081081081,2.411345805215221E-14,8.234705562463621E-14,1.0646051367678842E-13
710.8108108108108,2.3815603359089335E-14,8.159061349279201E-14,1.0540621685188135E-13
713.5135135135134,2.351743430010544E-14,8.082209862361462E-14,1.0433953292372006E-13
716.2162162162163,2.3219192832736034E-14,8.004257893258614E-14,1.0326177176532218E-13
718.9189189189188,2.2921114079045538E-14,7.925310319989728E-14,1.0217421727894282E-13
721.6216216216217,2.262342578690369E-14,7.845469865206566E-14,1.0107812443896934E-13
724.3243243243243,2.232634788370429E-14,7.76483687919903E-14,9.997471667569459E-14
727.027027027027,2.2030092076570756E-14,7.683509147251996E-14,9.886518354909071E-14
729.7297297297297,2.173486154363945E-14,7.60158172029715E-14,9.775067874661096E-14
732.4324324324325,2.1440850671554104E-14,7.519146769720814E-14,9.663231836876224E-14
735.1351351351352,2.114824486711584E-14,7.436293463091948E-14,9.551117949803531E-14
737.8378378378379,2.0857220417520327E-14,7.353107862514043E-14,9.438829904266076E-14
740.5405405405406,2.0567944400230876E-14,7.269672842631206E-14,9.326467282654294E-14
743.2432432432432,2.0280574659862947E-14,7.186068027779972E-14,9.214125493766267E-14
745.945945945946,1.9995259809814302E-14,7.102369747631558E-14,9.101895728612989E-14
748.6486486486486,1.9712139289440366E-14,7.018651009284431E-14,8.989864938228468E-14
751.3513513513515,1.943134345021244E-14,6.934981485342115E-14,8.878115830363359E-14
754.0540540540541,1.9152993681905253E-14,6.85142751626373E-14,8.766726884454255E-14
756.7567567567568,1.8884170049496075E-14,6.768486111522208E-14,8.656903116471815E-14
759.4594594594595,1.8635389471464737E-14,6.68688943281094E-14,8.550428379957414E-14
762.1621621621622,1.8388536359312633E-14,6.60556964103002E-14,8.444423276961284E-14
764.8648648648649,1.81437078231732E-14,6.52457638317118E-14,8.3389471654885E-14
767.5675675675675,1.7900994029875143E-14,6.443956513721392E-14,8.234055916708906E-14
770.2702702702703,1.766047836694513E-14,6.363754146199223E-14,8.129801982893736E-14
772.9729729729729,1.742223762411097E-14,6.284010710611748E-14,8.026234473022846E-14
775.6756756756757,1.7186342182531773E-14,6.20476501590918E-14,7.923399234162358E-14
778.3783783783783,1.6952856217910796E-14,6.126053317957382E-14,7.821338939748461E-14
781.081081081081,1.6721837909250212E-14,6.047909390439965E-14,7.720093181364986E-14
783.7837837837837,1.649333965369302E-14,5.97036459970162E-14,7.619698565070922E-14
786.4864864864865,1.62674082902957E-14,5.893447982162698E-14,7.520188811192269E-14
789.1891891891893,1.6044085311978818E-14,5.817186323470848E-14,7.421594854668729E-14
791.891891891892,1.5823407106187514E-14,5.741604239226384E-14,7.323944949845136E-14
794.5945945945947,1.56054051676787E-14,5.666724256982242E-14,7.227264773750113E-14
797.2972972972973,1.5390106329941725E-14,5.592566898560819E-14,7.131577531554992E-14
800.0000000000001,1.517753298602736E-14,5.519150762277624E-14,7.03690406088036E-14
