#Wavelength,Qabs,Qsca,Qext
300,8.389825757351138E-15,2.0169040926764387E-15,1.0406729850027577E-14
303.3783783783784,7.752796432109597E-15,1.547550828032433E-15,9.300347260142029E-15
306.7567567567568,6.933258210397948E-15,1.1018275749584133E-15,8.03508578535636E-15
310.13513513513516,5.988656900602793E-15,7.364490246307152E-16,6.725105925233508E-15
313.51351351351354,5.236255693397292E-15,5.112694993079669E-16,5.7475251927052595E-15
316.8918918918919,4.455736723508002E-15,3.6680038942145325E-16,4.822537112929455E-15
320.27027027027026,3.608837462844356E-15,2.8654981452461716E-16,3.895387277368973E-15
323.64864864864865,4.235846553483817E-15,5.902420279625771E-16,4.8260885814463936E-15
327.02702702702703,4.431193391257817E-15,1.0667304231034946E-15,5.4979238143613115E-15
330.4054054054054,3.7190038834509264E-15,1.800425079667289E-15,5.519428963118216E-15
333.7837837837838,3.531628866115304E-15,2.5343975296141417E-15,6.066026395729446E-15
337.1621621621622,4.252456211851368E-15,3.329825958925806E-15,7.582282170777173E-15
340.5405405405406,5.293220413562946E-15,4.458589753771611E-15,9.751810167334556E-15
343.9189189189189,6.7840418797137225E-15,5.96872032621497E-15,1.2752762205928693E-14
347.2972972972973,8.875318853612959E-15,7.924126379210717E-15,1.6799445232823676E-14
350.6756756756757,1.0964016057530516E-14,1.0644807732097862E-14,2.1608823789628378E-14
354.05405405405406,1.0076998101114142E-14,1.4250874460929495E-14,2.4327872562043636E-14
357.43243243243245,9.37061394184396E-15,1.78624690273883E-14,2.723308296923226E-14
360.81081081081084,9.426231223518983E-15,2.2526459902302325E-14,3.195269112582131E-14
364.1891891891892,9.875835092938035E-15,2.8404187960054016E-14,3.828002305299205E-14
367.5675675675676,1.0369626973426735E-14,3.532907044120014E-14,4.5698697414626874E-14
370.94594594594594,1.0742396647209797E-14,4.148491452871593E-14,5.2227311175925726E-14
374.3243243243243,1.0665846679792618E-14,4.6499347982413105E-14,5.716519466220572E-14
377.7027027027027,9.964171901721382E-15,4.921698899159298E-14,5.918116089331437E-14
381.0810810810811,8.686586881367533E-15,4.890736503004167E-14,5.759395191140921E-14
384.4594594594595,7.752400038018028E-15,4.546542662740927E-14,5.32178266654273E-14
387.83783783783787,6.789908880681649E-15,4.0906821552956946E-14,4.76967304336386E-14
391.21621621621625,5.832673138112045E-15,3.6082352508884384E-14,4.191502564699643E-14
394.59459459459464,4.958038669023462E-15,3.148283051191191E-14,3.6440869180935367E-14
397.97297297297297,4.198722434430204E-15,2.7356551106343207E-14,3.1555273540773414E-14
401.35135135135135,3.559838162805999E-15,2.3787409556359664E-14,2.7347247719165664E-14
404.72972972972974,3.0281432109385833E-15,2.0746492169462895E-14,2.3774635380401478E-14
408.1081081081081,2.5884998878152956E-15,1.817812820190728E-14,2.0766628089722576E-14
411.4864864864865,2.225369060689233E-15,1.6014674632162494E-14,1.8240043692851726E-14
414.8648648648649,1.9087684993206187E-15,1.428897584227366E-14,1.619774434159428E-14
418.2432432432433,1.6266384471038932E-15,1.2906517950296412E-14,1.4533156397400304E-14
421.62162162162167,1.389117539856078E-15,1.1701305989716767E-14,1.3090423529572845E-14
425,1.188581450570189E-15,1.0648156226347651E-14,1.183673767691784E-14
428.3783783783784,1.0187179524450895E-15,9.725175334518514E-15,1.0743893286963603E-14
431.7567567567568,8.936467274501574E-16,8.930789574261658E-15,9.824436301711815E-15
435.13513513513516,8.153440463954064E-16,8.253544665187895E-15,9.068888711583301E-15
438.51351351351354,7.460317799273146E-16,7.649236073495491E-15,8.395267853422805E-15
441.89189189189193,6.84474266453108E-16,7.108252509058234E-15,7.792726775511343E-15
445.2702702702703,6.296269279544427E-16,6.622404551585363E-15,7.252031479539806E-15
448.6486486486487,5.806052749928333E-16,6.184724165930816E-15,6.765329440923649E-15
452.02702702702703,5.430193304655706E-16,5.78293063520388E-15,6.3259499656694504E-15
455.4054054054054,5.20702922486723E-16,5.408514554431706E-15,5.9292174769184295E-15
458.7837837837838,4.997892262011708E-16,5.070465219132931E-15,5.5702544453341024E-15
462.1621621621622,4.801689490900278E-16,4.764259996881322E-15,5.24442894597135E-15
465.5405405405406,4.61741694627477E-16,4.486045723087588E-15,4.947787417715065E-15
468.91891891891896,4.444155047769725E-16,4.232525798776888E-15,4.6769413035538606E-15
472.29729729729735,4.2515139105497644E-16,4.004533529772719E-15,4.4296849208276955E-15
475.67567567567573,3.995052901952426E-16,3.804436003995831E-15,4.203941294191074E-15
479.05405405405406,3.759458578544834E-16,3.619364991048867E-15,3.99531084890335E-15
482.43243243243245,3.5426309785486296E-16,3.4478633999157755E-15,3.802126497770639E-15
485.8108108108109,3.342715182182716E-16,3.288666097481884E-15,3.622937615700155E-15
489.18918918918916,3.1580760319324957E-16,3.140627232330115E-15,3.4564348355233646E-15
492.56756756756766,2.9872636714400476E-16,3.0027355550949445E-15,3.3014619222389492E-15
495.945945945946,2.8289740286498207E-16,2.8740822369276127E-15,3.1569796397925946E-15
499.3243243243244,2.680950259495383E-16,2.7533603962539013E-15,3.0214554222034396E-15
502.70270270270277,2.543463360030224E-16,2.6404366884819427E-15,2.894783024484965E-15
506.0810810810811,2.4155784970835715E-16,2.534654113225835E-15,2.7762119629341924E-15
509.4594594594595,2.2964592623911243E-16,2.4354226042623314E-15,2.6650685305014438E-15
512.8378378378378,2.1853557802685126E-16,2.3422111396946237E-15,2.560746717721475E-15
516.2162162162163,2.081594424834178E-16,2.25454089796371E-15,2.462700340447128E-15
519.5945945945946,1.9845689049569324E-16,2.171979305202029E-15,2.370436195697722E-15
522.972972972973,1.9209671498255787E-16,2.093641012490283E-15,2.2857377274728407E-15
526.3513513513514,1.8769906029848248E-16,2.0194533945043262E-15,2.2071524548028088E-15
529.7297297297298,1.8345928072739822E-16,1.9494144410492168E-15,2.132873721776615E-15
533.1081081081081,1.793703847150054E-16,1.883216360313644E-15,2.0625867450286495E-15
536.4864864864865,1.7542570656450275E-16,1.8205793611643983E-15,1.996005067728901E-15
539.864864864865,1.716188964753614E-16,1.7612486659778988E-15,1.9328675624532602E-15
543.2432432432432,1.6794390935326852E-16,1.7049918858680057E-15,1.8729357952212743E-15
546.6216216216217,1.6439499295767512E-16,1.651596709962856E-15,1.815991702920531E-15
550,1.5880636259928852E-16,1.6019314965458269E-15,1.7607378591451155E-15
553.3783783783784,1.5054365820225557E-16,1.5560401275336644E-15,1.70658378573592E-15
556.7567567567568,1.4274155764897268E-16,1.5121944638360586E-15,1.6549360214850314E-15
560.1351351351352,1.3536972238823053E-16,1.47027436896078E-15,1.6056440913490106E-15
563.5135135135137,1.2840013898003608E-16,1.4301683001865798E-15,1.5585684391666159E-15
566.8918918918919,1.2180691587853138E-16,1.3917725917276094E-15,1.5135795076061408E-15
570.2702702702703,1.1556610024273288E-16,1.354990806107012E-15,1.4705569063497449E-15
573.6486486486486,1.0965551223260144E-16,1.319733145237584E-15,1.4293886574701856E-15
577.0270270270271,1.0405459541584976E-16,1.2859159168467405E-15,1.3899705122625902E-15
580.4054054054054,9.874428110324381E-17,1.2534610489489447E-15,1.3522053300521885E-15
