#Wavelength,Qabs,Qsca,Qext 
300,4.1153457817564754E-14,2.845569124558031E-14,6.960914906314506E-14
303.3783783783784,4.033360518649746E-14,2.510527032725379E-14,6.543887551375125E-14
306.7567567567568,3.8720434241431936E-14,2.1002535045987726E-14,5.972296928741966E-14
310.13513513513516,3.621697027868767E-14,1.6629901116645366E-14,5.2846871395333034E-14
313.51351351351354,3.316261542900743E-14,1.3082772069980367E-14,4.6245387498987796E-14
316.8918918918919,2.937905199229644E-14,1.0503829678304815E-14,3.988288167060126E-14
320.27027027027026,2.481662670901924E-14,9.143317369865894E-15,3.395994407888513E-14
323.64864864864865,2.514123382698036E-14,1.5918239625754675E-14,4.105947345273504E-14
327.02702702702703,2.3096199703729103E-14,2.468645235151845E-14,4.7782652055247553E-14
330.4054054054054,1.7262959533910477E-14,3.6379053614973134E-14,5.364201314888361E-14
333.7837837837838,1.4740170623132103E-14,4.452700737662564E-14,5.926717799975774E-14
337.1621621621622,1.5889391198627333E-14,4.9858916627581746E-14,6.574830782620908E-14
340.5405405405406,1.7565074355595904E-14,5.582661687990782E-14,7.339169123550373E-14
343.9189189189189,2.0022272953609334E-14,6.22553954405962E-14,8.227766839420554E-14
347.2972972972973,2.35803605844431E-14,6.921085038191921E-14,9.279121096636231E-14
350.6756756756757,2.951301621486067E-14,7.764274767613696E-14,1.0715576389099762E-13
354.05405405405406,3.458637970350099E-14,8.726747624446055E-14,1.2185385594796153E-13
357.43243243243245,2.9295083084341134E-14,9.32575174797868E-14,1.2255260056412794E-13
360.81081081081084,2.272086708508424E-14,9.989343857427157E-14,1.2261430565935581E-13
364.1891891891892,1.9218997683571006E-14,1.0853064115001615E-13,1.2774963883358716E-13
367.5675675675676,1.762681439717132E-14,1.189359707392263E-13,1.3656278513639763E-13
370.94594594594594,1.714924210194683E-14,1.288203581037237E-13,1.4596960020567053E-13
374.3243243243243,1.6756735629210352E-14,1.3830649696781873E-13,1.550632325970291E-13
377.7027027027027,1.601832899101248E-14,1.4602499200352042E-13,1.620433209945329E-13
381.0810810810811,1.469865068043021E-14,1.5025707283728758E-13,1.6495572351771778E-13
384.4594594594595,1.3945802427771171E-14,1.486237704491093E-13,1.6256957287688047E-13
387.83783783783787,1.2940056700298744E-14,1.4367429503839205E-13,1.566143517386908E-13
391.21621621621625,1.1677953780478859E-14,1.3675044931166315E-13,1.48428403092142E-13
394.59459459459464,1.0333864531375191E-14,1.2907353904891286E-13,1.3940740358028805E-13
397.97297297297297,9.043576667397256E-15,1.2160970922222022E-13,1.3065328588961746E-13
401.35135135135135,7.88652946618629E-15,1.1493771171945932E-13,1.2282424118564562E-13
404.72972972972974,6.886506186517012E-15,1.0926681547026673E-13,1.1615332165678375E-13
408.1081081081081,6.0427379410771766E-15,1.0461792787419817E-13,1.1066066581527536E-13
411.4864864864865,5.339871125154491E-15,1.0090443538615217E-13,1.0624430651130666E-13
414.8648648648649,4.7060113687416894E-15,9.82010468959411E-14,1.0290705826468279E-13
418.2432432432433,4.118530553867881E-15,9.631506604090546E-14,1.0043359659477335E-13
421.62162162162167,3.621340296128481E-15,9.489463265509485E-14,9.851597295122332E-14
425,3.1987861195776466E-15,9.386998970336782E-14,9.706877582294547E-14
428.3783783783784,2.837609063693852E-15,9.31793117017443E-14,9.601692076543815E-14
431.7567567567568,2.5792744363651496E-15,9.276320458892589E-14,9.534247902529105E-14
435.13513513513516,2.4383010230183743E-15,9.25619068517145E-14,9.500020787473288E-14
438.51351351351354,2.3160809200817767E-15,9.2546458367464E-14,9.486253928754577E-14
441.89189189189193,2.2098287009447368E-15,9.268856425889389E-14,9.489839295983862E-14
445.2702702702703,2.117202454504331E-15,9.296419481220757E-14,9.50813972667119E-14
448.6486486486487,2.0362317198415696E-15,9.335279964930385E-14,9.538903136914542E-14
